Date Time,Temperature(oC),Humidity(%),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW),Load Voltge(V)
2024-12-01 10:05:17,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-01 10:05:22,34.2,62,0.97,9.61,96.0,72,0.98
2024-12-01 10:05:27,34.2,62,0.98,9.62,96.3,66,0.99
2024-12-01 10:05:32,34.2,62,1.07,9.52,96.1,102,1.08
2024-12-01 10:05:37,34.2,62,1.04,9.21,96.2,98,1.05
2024-12-01 10:05:42,34.2,62,1.62,9.27,92.4,98,1.63
2024-12-01 10:05:47,34.2,62,0.79,9.18,93.0,122,1.51
2024-12-01 10:05:52,34.2,62,0.72,9.14,91.9,134,0.73
2024-12-01 10:05:57,34.2,62,2.08,9.26,92.9,154,2.09
2024-12-01 10:06:02,34.2,63,1.02,9.57,93.1,194,1.03
2024-12-01 10:06:07,34.2,63,1.63,9.22,94.1,98,1.64
2024-12-01 10:06:11,34.2,63,1.91,9.35,93.8,164,1.92
2024-12-01 10:06:17,34.2,63,0.88,9.17,91.8,124,0.89
2024-12-01 10:06:22,34.2,63,1.64,9.34,93.7,158,1.65
2024-12-01 10:06:27,34.2,63,1.93,9.28,93.1,160,1.94
2024-12-01 10:06:32,34.2,63,0.78,9.09,92.2,128,0.79
2024-12-01 10:06:37,34.2,63,0.98,9.55,93.0,66,0.99
2024-12-01 10:06:42,34.2,63,1.19,9.18,91.6,112,1.2
2024-12-01 10:06:47,34.2,63,1.68,9.38,92.0,96,0.88
2024-12-01 10:06:52,34.2,63,1.33,9.33,91.9,132,1.34
2024-12-01 10:06:57,34.2,63,1.68,9.05,89.8,158,1.69
2024-12-01 10:07:02,34.2,63,1.49,9.16,94.7,98,1.5
2024-12-01 10:07:07,34.2,63,0.99,9.47,92.4,66,1.0
2024-12-01 10:07:12,34.2,63,1.66,9.11,91.6,96,1.42
2024-12-01 10:07:17,34.2,63,0.9,9.48,90.4,72,0.91
2024-12-01 10:07:22,34.2,62,1.0,9.47,94.8,66,1.01
2024-12-01 10:07:27,34.2,62,1.03,9.46,94.4,98,1.04
2024-12-01 10:07:32,34.2,62,0.8,8.97,90.7,134,0.81
2024-12-01 10:07:36,34.2,62,1.03,9.43,94.0,98,1.04
2024-12-01 10:07:42,34.2,62,1.03,9.41,93.7,96,1.04
2024-12-01 10:07:47,34.2,61,0.74,9.0,90.4,78,0.75
2024-12-01 10:07:52,34.2,61,1.48,9.08,94.1,98,1.49
2024-12-01 10:07:57,34.2,61,0.94,9.41,89.6,68,0.95
2024-12-01 10:08:02,34.2,61,1.44,9.05,93.0,98,1.45
2024-12-01 10:08:07,34.2,61,1.0,9.42,92.5,66,1.01
2024-12-01 10:08:12,34.2,61,1.01,9.43,94.3,96,0.95
2024-12-01 10:08:17,34.2,62,0.98,9.45,90.2,72,0.99
2024-12-01 10:08:22,34.2,62,1.64,9.13,94.4,96,1.65
2024-12-01 10:08:27,34.2,62,1.0,9.45,94.3,96,1.01
2024-12-01 10:08:32,34.2,62,1.69,9.25,93.2,150,1.7
2024-12-01 10:08:36,34.2,61,1.07,9.12,94.4,96,1.08
2024-12-01 10:08:42,34.2,62,1.03,9.46,94.9,98,1.04
2024-12-01 10:08:47,34.2,62,0.88,9.13,91.3,138,0.89
2024-12-01 10:08:52,34.2,62,1.03,9.45,94.6,98,1.04
2024-12-01 10:08:57,34.2,62,0.75,9.02,91.0,78,0.76
2024-12-01 10:09:02,34.2,62,1.04,9.17,95.0,98,1.05
2024-12-01 10:09:07,34.2,63,1.44,9.12,91.0,96,1.45
2024-12-01 10:09:12,34.2,63,1.0,9.48,92.4,68,1.01
2024-12-01 10:09:17,34.2,62,0.92,9.13,91.5,134,0.93
2024-12-01 10:09:22,34.2,62,1.0,9.5,95.2,68,1.01
2024-12-01 10:09:27,34.2,62,1.35,9.14,91.9,112,1.36
2024-12-01 10:09:32,34.2,62,1.0,9.49,94.9,96,1.01
2024-12-01 10:09:37,34.2,62,1.15,9.14,94.8,132,0.83
2024-12-01 10:09:42,34.2,62,0.77,9.05,90.3,104,0.78
2024-12-01 10:09:47,34.2,62,1.0,9.46,94.1,66,1.01
2024-12-01 10:09:52,34.2,62,1.46,9.13,90.8,102,1.47
2024-12-01 10:09:57,34.2,62,1.0,9.43,90.2,68,1.01
2024-12-01 10:10:01,34.2,62,1.18,9.12,90.8,112,1.19
2024-12-01 10:10:07,34.2,62,1.0,9.5,94.7,88,1.01
2024-12-01 10:10:12,34.2,62,1.61,9.12,94.3,96,1.62
2024-12-01 10:10:17,34.2,62,1.0,9.41,92.4,66,1.01
2024-12-01 10:10:22,34.2,62,1.65,9.3,91.2,96,1.66
2024-12-01 10:10:27,34.2,62,1.0,9.43,94.2,68,1.01
2024-12-01 10:10:32,34.2,62,1.0,9.44,94.1,96,1.01
2024-12-01 10:10:37,34.2,61,2.02,9.18,91.7,134,2.03
2024-12-01 10:10:42,34.2,61,1.04,9.06,93.9,96,1.05
2024-12-01 10:10:47,34.2,61,1.51,8.89,93.9,96,1.52
2024-12-01 10:10:52,34.2,61,1.0,9.39,89.9,68,1.01
2024-12-01 10:10:57,34.2,61,1.0,9.41,94.1,96,1.01
2024-12-01 10:11:02,34.2,61,1.63,9.07,90.6,138,0.88
2024-12-01 10:11:07,34.2,61,1.0,9.36,89.5,66,1.01
2024-12-01 10:11:12,34.2,61,1.0,9.04,93.8,96,1.01
2024-12-01 10:11:17,34.2,61,0.76,9.38,89.6,82,0.77
2024-12-01 10:11:22,34.2,61,0.99,9.34,93.8,68,1.0
2024-12-01 10:11:26,34.2,61,0.88,8.96,90.2,140,0.89
2024-12-01 10:11:32,34.2,61,0.96,9.38,89.7,72,0.97
2024-12-01 10:11:37,34.2,61,0.99,9.33,93.6,66,1.0
2024-12-01 10:11:42,34.2,61,1.38,8.93,89.8,102,1.39
2024-12-01 10:11:47,34.2,61,0.98,9.34,93.6,92,0.99
2024-12-01 10:11:52,34.2,61,0.81,8.87,89.3,114,0.82
2024-12-01 10:11:57,34.2,61,1.0,9.31,93.1,92,1.01
2024-12-01 10:12:02,34.2,61,1.92,9.01,90.7,122,0.75
2024-12-01 10:12:07,34.2,61,1.0,9.01,93.2,92,1.01
2024-12-01 10:12:12,34.2,61,1.72,9.06,89.9,92,1.73
2024-12-01 10:12:17,34.2,61,1.0,9.32,93.3,68,1.01
2024-12-01 10:12:22,34.2,61,1.45,9.12,89.9,132,1.46
2024-12-01 10:12:27,34.4,61,1.63,9.37,89.8,76,0.99
2024-12-01 10:12:32,34.5,61,1.0,9.34,93.3,68,1.01
2024-12-01 10:12:37,34.6,61,1.46,9.12,89.6,148,1.47
2024-12-01 10:12:42,34.7,61,0.99,9.31,92.3,68,1.0
2024-12-01 10:12:47,34.7,61,1.0,9.31,93.1,92,1.01
2024-12-01 10:12:52,34.7,61,0.84,8.9,89.8,138,0.85
2024-12-01 10:12:57,34.7,61,0.91,9.3,89.0,76,0.92
2024-12-01 10:13:02,34.7,61,1.0,9.3,93.3,92,1.01
